备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
津备2024005562,盐酸甲氧氯普胺注射液,国药准字H12020967,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005520,溴芬酸钠滴眼液,国药准字H20213053,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药永光（河北）制药有限公司,河北省三河市燕郊高新区燕昌路228号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药永光（河北）制药有限公司;生产企业地址由天津开发区黄海路221号变更为河北省三河市燕郊高新区燕昌路228号,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005537,醋酸氟轻松乳膏,国药准字H12020737,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
川备2024003555,平衡盐溶液（供灌注用）,国药准字H20234378,成都青山利康药业股份有限公司,成都高新区高朋大道14号,成都青山利康药业股份有限公司,成都市双流区西航港空港五路2888号,按照国家药监局发布的《关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）和《关于“通过一致性评价”标识使用有关事宜的说明》的相关要求，进行说明书、标签备案，在说明书和标签中增加“一致性评价”标识。,四川省药品监督管理局,2024-02-05,已备案,详情
沪备2024003386,非洛地平缓释片,国药准字H20213685,上海安必生制药技术有限公司,上海市徐汇区曲靖路18号,天津天士力圣特制药有限公司,天津市北辰区汀江西路3号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），本品新增电子药品说明书（完整版）。,上海市药品监督管理局,2024-02-05,已备案,详情
浙备2024004291,辟瘟片,国药准字Z33020604,浙江天一堂药业有限公司,浙江省兰溪市天一路1号,浙江天一堂药业有限公司,浙江省兰溪市天一路1号,将辟瘟片的有效期由24个月延长至36个月，并对说明书相应内容进行修订。,浙江省药品监督管理局,2024-02-05,2024年03月13日，撤销备案,详情
甘备2024003161,注射用甲磺酸加贝酯,国药准字H20163097,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,根据《药品注册管理办法》（局令第27号）及《已上市化学药品药学变更研究技术指导原则（试行）》等有关规定，企业申请将注射用甲磺酸加贝酯产品有效期由“12个月”变更为“18个月”，同步对药品说明书、标签进行变更备案。原说明书、标签使用商标由“ChanGee”变更为“昔达”、“速适”。,甘肃省药品监督管理局,2024-02-05,2024年03月20日，撤销备案,详情
津备2024005513,苯甲酸雌二醇注射液,国药准字H12020530,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005530,地塞米松磷酸钠注射液,国药准字H12020516,津药和平（天津）制药有限公司,天津开发区黄海路221号,"津药和平（天津）制药有限公司,湖北津药药业股份有限公司","天津开发区黄海路221号,湖北省襄阳市汉江北路99号","因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,湖北津药药业股份有限公司;生产企业地址由天津开发区黄海路221号变更为天津开发区黄海路221号,湖北省襄阳市汉江北路99号",天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005675,盐酸氯丙嗪注射液,国药准字H12020619,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005585,维生素B2注射液,国药准字H12020616,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005615,醋酸曲安奈德尿素乳膏,国药准字H12021188,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
黑备2024000688,葡萄糖注射液,国药准字H20033725,黑龙江博宇制药有限公司,黑龙江省庆安县东城区,河南科伦药业有限公司,河南省安阳市汤阴县产业集聚区工纵三街北段,变更葡萄糖注射液生产工艺，将浓配溶解工艺由“煮沸20分钟后，冷却至40～45℃，循环20分钟” 变更为“50℃以上搅拌15-20分钟”。,黑龙江省药品监督管理局,2024-02-05,已备案,详情
粤备2024004614,头孢丙烯干混悬剂,国药准字H20234253,深圳立健药业有限公司,深圳市龙华区大浪街道同胜社区园富路1号B2栋1层,深圳立健药业有限公司,深圳市龙华区大浪街道同胜社区园富路1号,本品的有效期由12个月变更为18个月，同时对说明书、标签和质量标准中相应内容进行变更。,广东省药品监督管理局,2024-02-05,已备案,详情
粤备2024004689,氧,国药准字H20233001,佛山市高明合顺气体有限公司,佛山市高明区更合镇更合大道西615号,佛山市高明合顺气体有限公司,佛山市高明区更合镇更合大道西615号,本品增加2L、6L、12L、15L、18L、20L的包装规格。,广东省药品监督管理局,2024-02-05,已备案,详情
陕备2024004251,芪血颗粒,国药准字B20020961,陕西年青保制药有限公司,陕西省咸阳市秦都区永昌路43号,陕西年青保制药有限公司,陕西省咸阳市秦都区永昌路43号,"根据企业实际情况，现申请芪血颗粒（国药准字B20020961）以下变更事项：
 1.药品上市许可持有人名称由“西安必康心荣制药有限公司（生产地址：西安市朱雀大街205号）”变更为“陕西年青保制药有限公司（生产地址：陕西省咸阳市秦都区永昌路43号）”。
 2.生产企业、生产地址由“西安必康心荣制药有限公司（生产地址：西安市朱雀大街205号）变更为“陕西年青保制药有限公司（生产地址：陕西省咸阳市秦都区永昌路43号）”。
芪血颗粒说明书和标签详细修订内容：
 1、【药品上市许可持有人】由“西安必康心荣制药有限公司（注册地址 ：西安经济技术开发区尚稷路8989号A座0101室）”变更为“陕西年青保制药有限公司（注册地址：陕西省咸阳市秦都区永昌路43号）”。
 2、【生产企业】由“西安必康心荣制药有限公司（生产地址：西安市朱雀大街205号）变更为陕西年青保制药有限公司（生产地址：陕西省咸阳市秦都区永昌路43号）
 3、商标变更为“年青保”。
 4、联系电话由“（029）82656896 （029）89621489”变更为“029-38019988”。删除原传真号码。
5、邮编“710061”变更为“712000”。",陕西省药品监督管理局,2024-02-05,已备案,详情
津备2024005564,黄体酮注射液,国药准字H20205021,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
Y苏备2024003429,左奥硝唑,Y20190007653,无,无,南京圣和药业股份有限公司,南京化学工业园赵桥河南路68号,根据国家药监局 国家卫生健康委关于发布实施《中华人民共和国药典》（2020年版）第一增补本的公告（2023年第126号），将本品执行标准由“《中国药典》2020年版二部，【比旋度】项执行YBH07472009”变更为“《中国药典》2020年版第一增补本，【比旋度】项执行YBH07472009”。,江苏省药品监督管理局,2024-02-05,已备案,详情
苏备2024003755,奥硝唑注射液,国药准字H20040337,南京圣和药业股份有限公司,南京经济技术开发区惠中路9号,南京圣和药业股份有限公司,南京经济技术开发区惠中路9号,根据国家药监局 国家卫生健康委关于发布实施《中华人民共和国药典》（2020年版）第一增补本的公告（2023年第126号），将本品执行标准由“《中国药典》2020年版二部”变更为“《中国药典》2020年版第一增补本”。,江苏省药品监督管理局,2024-02-05,已备案,详情
Y粤备2024004478,普拉洛芬,Y20210000593,无,无,广东先强药业有限公司,广州市从化经济开发区工业大道6号,本品有效期由原来的“24个月”变更为“36个月”，标签按照相应规定修订。,广东省药品监督管理局,2024-02-05,已备案,详情
津备2024005624,黄体酮注射液,国药准字H12020533,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
苏备2024004191,复方氨基酸注射液(18AA-Ⅰ),国药准字H19993201,费森尤斯卡比华瑞制药有限公司,江苏省无锡市滨湖区马山北闸路16号,费森尤斯卡比华瑞制药有限公司,江苏省无锡市滨湖区马山北闸路16号,根据《已上市化学药品药学变更研究技术指导原则（试行）》，本品药包材“钠钙玻璃输液瓶”的供应商增加“广汉市玻璃制瓶有限公司”，“注射液用卤化丁基橡胶塞”的供应商增加“江阴市海华橡塑有限公司”。,江苏省药品监督管理局,2024-02-05,已备案,详情
津备2024005508,壬苯醇醚膜,国药准字H10910073,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005489,复合维生素B注射液,国药准字H12021235,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005590,硝酸异山梨酯乳膏,国药准字H10880050,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005550,复方氢化可的松新霉素乳膏,国药准字H12021010,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005541,盐酸氨溴索注射液,国药准字H20113050,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005614,吲达帕胺缓释胶囊,国药准字H20090010,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005673,复方克霉唑乳膏,国药准字H12020691,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005498,苯巴比妥钠注射液,国药准字H12020381,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005474,硫酸庆大霉素注射液,国药准字H12020386,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005469,盐酸奈福泮注射液,国药准字H12020539,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
津备2024005486,硫酸镁注射液,国药准字H12020994,津药和平（天津）制药有限公司,天津开发区黄海路221号,津药和平（天津）制药有限公司,天津开发区黄海路221号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由天津金耀药业有限公司变更为津药和平（天津）制药有限公司,天津市药品监督管理局,2024-02-05,已备案,详情
