备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
鲁备2024016003,洛索洛芬钠分散片,国药准字H20163219,山东裕欣药业有限公司,临沂市罗庄区罗七路中段西侧,山东裕欣药业有限公司,临沂市罗庄区罗七路中段西侧,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（完整版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-05-08,已备案,详情
甘备2024001138,人血白蛋白,国药准字S10820116,国药集团兰州生物制药有限公司,甘肃省兰州市城关区盐场路888号,国药集团兰州生物制药有限公司,甘肃省兰州市城关区盐场路888号,基于历史生产数据，参照再注册申报资料、制造及检定记录摘要、生产工艺规程等对2007年工艺核查时人血白蛋白部分生产工艺参数进行修正，制定《人血白蛋白制造及检定规程》并进行备案。,甘肃省药品监督管理局,2024-05-08,已备案,详情
鲁备2024015596,阿托伐他汀钙片,国药准字H20213750,山东新华制药股份有限公司,淄博市高新技术产业开发区化工区,"山东新华制药股份有限公司,杭州民生滨江制药有限公司","山东省淄博市高新区鲁泰大道1号,浙江省杭州市滨江区滨安路 658 号 2 幢",10mg阿托伐他汀钙片（批准文号：国药准字H20213750，山东省淄博市高新区鲁泰大道1号202XY车间一楼片剂2#线）申请在口服固体药用高密度聚乙烯瓶的基础上增加聚酰胺/铝/聚氯乙烯冷冲压成型固体药用复合硬片和药用铝箔包装，说明书及包装标签做相应修订，新增包装规格相关的内包装材料、相关的包装设备及相关工艺参数发生变更，原包装规格相关的内包装材料及包装设备不变。,山东省药品监督管理局,2024-05-08,已备案,详情
甘备2024001139,人血白蛋白,国药准字S10820115,国药集团兰州生物制药有限公司,甘肃省兰州市城关区盐场路888号,国药集团兰州生物制药有限公司,甘肃省兰州市城关区盐场路888号,基于历史生产数据，参照再注册申报资料、制造及检定记录摘要、生产工艺规程等对2007年工艺核查时人血白蛋白部分生产工艺参数进行修正，制定《人血白蛋白制造及检定规程》并进行备案。,甘肃省药品监督管理局,2024-05-08,已备案,详情
浙备2024015010,ACYW135群脑膜炎球菌多糖疫苗,国药准字S20180011,艾美坚持生物制药有限公司,浙江省宁波市宁海县科技工业园区竹泉路29号,艾美坚持生物制药有限公司,浙江省宁波市宁海县科技工业园区竹泉路29号,在原说明书和包装盒不变的基础上，增加另一种包装形式: 在ACYW135群脑膜炎球菌多糖疫苗的瓶盖顶增加VVM标签，并在说明书的【注意事项】项中增加VVM标签的使用方法、在药品包装盒左下角增加“疫苗瓶粘贴VVM (详见说明书)”的字样。,浙江省药品监督管理局,2024-05-08,已备案,详情
粤备2024015487,依托考昔片,国药准字H20213565,国药集团致君（深圳）制药有限公司,深圳市龙华新区观澜高新园区澜清一路16号,国药集团致君（深圳）坪山制药有限公司,深圳市坪山新区青兰三路18号,本品增加受托生产企业（生产企业：国药集团致君(深圳)坪山制药有限公司；生产地址：深圳市坪山新区青兰三路18号；生产车间：口服固体制剂一车间)，同时，新增生产批量30万片。,广东省药品监督管理局,2024-05-08,已备案,详情
陕备2024016465,氧（液态）,国药准字H20093596,西安北普气体有限责任公司,陕西省西安市经济技术开发区渭北新城秦王一路2888号A栋,西安北普气体有限责任公司,陕西省西安市经济技术开发区渭北新城秦王一路2888号A栋,生产地址由“西安市临潼区西安渭北工业区临潼现代工业组团秦王一路中段”变更为“陕西省西安市经济技术开发区渭北新城秦王一路2888号A栋”,陕西省药品监督管理局,2024-05-08,已备案,详情
冀备2024016348,阿奇霉素片,国药准字H20223821,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,石家庄四药有限公司,石家庄高新技术产业开发区槐安东路518号,申请备案本品同一生产地址内增加包衣场地102车间（五楼），关联相关工艺参数变更。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-05-08,已备案,详情
浙备2024016287,普拉洛芬滴眼液,国药准字H20243619,杭州民生药业股份有限公司,浙江省杭州市临平区东湖街道临平大道36号,杭州民生药业股份有限公司,浙江省杭州市临平区东湖街道临平大道36号,药品有效期由“12个月”延长至“18个月”，并对说明书的【有效期】项作相应修订。,浙江省药品监督管理局,2024-05-08,已备案,详情
蒙备2024016295,血府逐瘀丸,国药准字Z15021568,内蒙古孟和制药股份有限公司,内蒙古自治区通辽市科尔沁区通郑公路（原蒙药厂院内）,内蒙古孟和制药股份有限公司,内蒙古自治区通辽市科尔沁区通郑公路（原蒙药厂院内）,"该品种已于2024年05月06日已进行药品说明书包装标签备案。现根据市场需求以及科学、合理、有效的用药原则，增加9g/丸×10丸/板×2板/盒的包装规格。与已备案说明书、包装标签比较，说明书不同的内容为：【包装】由“聚氯乙烯固体药用硬片/药品包装用铝箔泡罩包装，9g/丸×10丸/板×1板/盒。”变更为“聚氯乙烯固体药用硬片/药品包装用铝箔泡罩包装，9g/丸×10丸/板×2板/盒。”
包装标签的不同内容为：【包装】由“聚氯乙烯固体药用硬片/药品包装用铝箔泡罩包装，9g/丸×10丸/板×1板/盒，9g/丸×10丸/板×1板/盒×3小盒/中盒”变更为“聚氯乙烯固体药用硬片/药品包装用铝箔泡罩包装，9g/丸×10丸/板×2板/盒，9g/丸×10丸/板×2板/盒×3小盒/中盒。”，其他内容与已备案说明书、包装标签一致。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-05-08,已备案,详情
吉备2024016512,感冒灵颗粒,国药准字Z34020213,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由芜湖绿叶制药有限公司变更为吉林吴太感康药业有限公司;生产企业地址由中国（安徽）自由贸易试验区芜湖片区九华北路116号变更为长春经济技术开发区辽港街991号,吉林省药品监督管理局,2024-05-08,已备案,详情
甘备2024016224,小儿氨酚黄那敏片,国药准字H62020978,甘肃河西制药有限责任公司,甘肃省张掖市甘州区东街123号,甘肃河西制药有限责任公司,甘肃省张掖市国家级张掖经济技术开发区生态科技产业园创业路1号,按照原国家食品药品监督管理局24号令、国家药监局关于修订氨酚麻美口服溶液等14个品种药品说明书的公告（2021年第57号）等有关规定，对包装规格为“内包装系PVC硬片、铝箔。每板装12片。”的小儿氨酚黄那敏片药品说明书、包装标签进行变更，并增加警示语、修订【注意事项】项。,甘肃省药品监督管理局,2024-05-08,已备案,详情
鲁备2024013853,盐酸氨溴索片,国药准字H20163194,山东裕欣药业有限公司,临沂市罗庄区罗七路中段西侧,山东裕欣药业有限公司,临沂市罗庄区罗七路中段西侧,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（完整版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-05-08,已备案,详情
吉备2024016317,葡萄糖注射液,H20113360,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,申请对使用直立式聚丙烯输液袋（包材登记号：B20210000768，此登记号以包装系统形式申报，其主体为直立式聚丙烯输液袋，配件为：易折式塑料输液容器用聚丙烯组合盖（包含易折式、双易折式））包装的葡萄糖注射液（国药准字H20113360）有效期由24个月延长至36个月进行备案。企业对申报材料真实性和合法性负责，并对药品说明书做相应修改。,吉林省药品监督管理局,2024-05-08,已备案,详情
桂备2024015688,风热感冒颗粒,国药准字45021285,广西南珠制药有限公司,广西钦州市梅园路28号,广西南珠制药有限公司,广西钦州市梅园路28号,"一、与原说明书相比，此次修订的内容如下：
1、注册商标变更为“通药”。
2、其他内容不变。

二、与原包装标签相比，此次修订的内容如下：
1、注册商标变更为“通药”
2、包装图案作了修改。
3、其他内容不变。",广西壮族自治区药品监督管理局,2024-05-08,已备案,详情
赣备2024015649,川贝枇杷胶囊,国药准字Z20080058,江西南昌济生制药有限责任公司,江西省赣江新区直管区中医药科创城时珍南大道666号,江西南昌济生制药有限责任公司,生产地址1：江西省南昌市北郊新祺周济生路125号；生产地址2：江西省赣江新区中医药科创城时珍南大道666号,川贝枇杷胶囊(国药准字Z20080058)变更生产工艺:川贝母细粉、桔梗细粉增加灭菌工序。,江西省药品监督管理局,2024-05-08,已备案,详情
桂备2024016265,小柴胡颗粒,国药准字Z45020882,广西鸿博原生制药有限公司,广西隆安县城厢镇宝塔路6号,广西鸿博原生制药有限公司,广西隆安县城厢镇宝塔路6号,"1、根据市场反馈和消费者需求修改小柴胡颗粒10克/袋X18袋/盒的包装标签样式；
2、样稿见申请表附件。",广西壮族自治区药品监督管理局,2024-05-08,已备案,详情
桂备2024016119,五淋化石丸,国药准字Z45021921,广西梧州三鹤药业股份有限公司,梧州市富民二路28号,广西梧州三鹤药业股份有限公司,梧州市富民二路28号,1、在说明书和包装标签上增加“中华老字号”标识。,广西壮族自治区药品监督管理局,2024-05-08,已备案,详情
桂备2024015966,复方百部止咳颗粒,国药准字Z20063418,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,"1、变更药品包装标签样式。
2、其他文字内容保持不变。",广西壮族自治区药品监督管理局,2024-05-08,已备案,详情
Y浙备2024015610,枸橼酸托法替布,Y20200000672,无,无,福安药业集团宁波天衡制药有限公司,宁波石化经济技术开发区巴子山路198号,枸橼酸托法替布有效期由“18个月”变更为“36个月”。,浙江省药品监督管理局,2024-05-08,已备案,详情
桂备2024016118,花蛇解痒胶囊,国药准字Z20025889,广西梧州三鹤药业股份有限公司,梧州市富民二路28号,广西梧州三鹤药业股份有限公司,梧州市富民二路28号,"1、在说明书和包装标签上增加“中华老字号”标识。
2、删除说明书上“传真号码：（0774）5830318”和“本品已采用防伪编码，请拨打4007163315全国防伪热线或登陆网站，按系统提示操作，即可鉴别真伪。”的字样。
3、将纸盒上的“码上放心追溯码 支付宝扫一扫”字样修改为“药品追溯码 支付宝扫一扫”。
4、在纸盒的正面和背面增加“12粒×2板/盒”的字样。
5、删除复合膜上的“广西梧州三鹤药业股份有限公司”的图标。",广西壮族自治区药品监督管理局,2024-05-08,已备案,详情
浙备2024014873,西洛他唑片,国药准字H20057506,浙江永宁药业股份有限公司,浙江省台州市黄岩梅花井路4号,浙江永宁药业股份有限公司,浙江省台州市黄岩梅花井路4号,按照国家药品监督管理局药品补充申请批准通知书（通知书编号：2024B01609）及相关法律法规，对说明书和包装标签进行修订，并在药品说明书和包装标签中添加“通过一致性评价”标识。,浙江省药品监督管理局,2024-05-08,已备案,详情
蒙备2024016393,参茸安神丸,国药准字Z15020777,内蒙古天奇中蒙制药股份有限公司,内蒙古自治区赤峰市红山区红山经济开发区3号,内蒙古天奇中蒙制药股份有限公司,内蒙古自治区赤峰市红山区红山经济开发区3号,"根据国家药品监督管理局境内生产药品备案信息公示(备案号：蒙备2024012721),申请参茸安神丸“药品包装用铝箔/聚氯乙烯固体药用硬片泡罩包装，每丸重9克，每板装10丸，每盒装1板。”包装规格的说明书备案，修订内容为【有效期】修改为36个月。申请人对申报资料的真实性、准确性、完整性、规范性负责。",内蒙古自治区药品监督管理局,2024-05-08,已备案,详情
浙备2024015989,非洛地平缓释片,国药准字H20233021,浙江华海药业股份有限公司,浙江省临海市汛桥,浙江华海药业股份有限公司,浙江省临海市汛桥,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），作为参与试点的药品上市许可持有人对非洛地平缓释片的说明书进行相应的修订。修订内容为：提供纸质药品说明书（简化版），并在纸质药品说明书（简化版）上设计一个可获得电子药品说明书（完整版）的二维码。,浙江省药品监督管理局,2024-05-08,已备案,详情
浙备2024016143,西沙必利片,国药准字H20020345,浙江京新药业股份有限公司,浙江省新昌县羽林街道新昌大道东路800号,浙江京新药业股份有限公司,浙江省新昌县羽林街道新昌大道东路800号,按照《国家药监局关于修订西沙必利口服制剂说明书的公告》（2024年第32号）要求，修订药品说明书【警示语】、【不良反应】、【注意事项】的内容。,浙江省药品监督管理局,2024-05-08,已备案,详情
甘备2024015006,小儿感冒颗粒,国药准字Z62021061,甘肃新岷海制药有限公司,甘肃省定西市岷县当归大道816号,甘肃岷海制药有限责任公司,甘肃岷县工业园区,按照原国家食品药品监督管理局24号令、药品补充申请批准通知书（通知书编号：2022B05134）及药品补充申请批准通知书（通知书编号：2024B01668）有关规定：1、对包装规格为“药用复合膜袋包装，6克×6袋/盒、6克×7袋/盒、6克×8袋/盒、6克×9袋/盒、6克×10袋/盒、6克×12袋/盒。”的小儿感冒颗粒上市许可持有人由“甘肃岷海制药有限责任公司”变更为“甘肃新岷海制药有限公司”，生产企业及生产地址不变。 2、对小儿感冒颗粒原【规格】“每袋装12g”规范为“每1g相当于饮片1.65g”，“每袋装12克、每袋装6克”列入【包装】项下，对包装规格为“药用复合膜袋包装，6克×6袋/盒、6克×7袋/盒、6克×8袋/盒、6克×9袋/盒、6克×10袋/盒、6克×12袋/盒、12克×6袋/盒。”的小儿感冒颗粒包装标签及说明书进行变更。,甘肃省药品监督管理局,2024-05-08,已备案,详情
吉备2024016487,葡萄糖注射液,H20083870,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,申请对使用直立式聚丙烯输液袋（包材登记号：B20210000768，此登记号以包装系统形式申报，其主体为直立式聚丙烯输液袋，配件为：易折式塑料输液容器用聚丙烯组合盖（包含易折式、双易折式））包装的葡萄糖注射液（国药准字H20083870）有效期由24个月延长至36个月进行备案。企业对申报材料真实性和合法性负责，并对药品说明书做相应修改。,吉林省药品监督管理局,2024-05-08,已备案,详情
吉备2024016484,葡萄糖注射液,H20113361,吉林省都邦药业股份有限公司,德惠市经济开发区德大路699号,吉林省都邦药业股份有限公司,吉林省德惠市经济开发区德大路699号,申请对使用直立式聚丙烯输液袋（包材登记号：B20210000768，此登记号以包装系统形式申报，其主体为直立式聚丙烯输液袋，配件为：易折式塑料输液容器用聚丙烯组合盖（包含易折式、双易折式））包装的葡萄糖注射液（国药准字H20113361）有效期由24个月延长至36个月进行备案。企业对申报材料真实性和合法性负责，并对药品说明书做相应修改。,吉林省药品监督管理局,2024-05-08,已备案,详情
川备2024016378,苯磺酸氨氯地平片,国药准字H20243511,四川依科制药有限公司,四川省广汉市中山大道南四段2号,四川依科制药有限公司,四川省广汉市中山大道南四段2号,苯磺酸氨氯地平片的说明书和标签中使用“通过一致性评价”标识,四川省药品监督管理局,2024-05-08,已备案,详情
皖备2024016366,槐角丸,国药准字Z34021076,上海华源制药安徽广生药业有限公司,安徽省界首市华源大道6号,上海华源制药安徽广生药业有限公司,安徽省界首市华源大道6号,增加包装规格。槐角丸（水蜜丸）在原包装规格基础上增加36g/瓶包装规格，同时修改说明书和包装标签相关内容。,安徽省药品监督管理局,2024-05-08,已备案,详情
苏备2024016409,复方当归注射液,国药准字Z32021078,江苏恒沣药业有限公司,高邮市长兴路12号,江苏恒沣药业有限公司,高邮市长兴路12号,本品原生产地址为:高邮市长兴路12号，中药前处理及提取车间，中药前处理及提取生产线；高邮市长兴路12号，小容量注射剂车间，小容量注射剂（非最终灭菌）生产线。现根据药品生产许可证增加生产场地：高邮市长兴路12号；小容量注射剂一车间，小容量注射剂（非最终灭菌）生产线。本次仅对制剂生产工序（配液、洗瓶、灌封、灭菌、灯检和包装等）增加了生产场地；中药前处理、提取纯化、浓缩等提取步骤，热处理及配液前其他工序均在中药前处理及提取车间内生产，场地未发生变更。,江苏省药品监督管理局,2024-05-08,已备案,详情
粤备2024015484,格列吡嗪片,国药准字H10940098,广东华南药业集团有限公司,东莞市石龙镇西湖工业区信息产业园,广东华南药业集团有限公司,东莞市石龙镇西湖工业区信息产业园,本品为《国家药监局公布药品说明书适老化及无障碍改革试点名单（第一批）》名单品种，序号：465，修订方式为试点方式3，备案药品说明书（简化版）及电子药品说明书（完整版），药品说明书（简化版）引用药品说明书（完整版）【药品名称】、【成份】、【性状】、【适应症】、【规格】、【用法用量】、【禁忌】、【贮藏】、【药品上市许可持有人】项目，只涉及字体和格式的调整，此次备案说明书内容与原备案说明书内容一致。,广东省药品监督管理局,2024-05-08,已备案,详情
