备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
鄂备2024001268,克林霉素甲硝唑搽剂,国药准字H20066703,湖北潜龙药业有限公司,湖北省潜江市泰丰办事处潜阳东路51号,湖北潜龙药业有限公司,湖北省潜江市泰丰办事处潜阳东路51号,按照国食药监注[2006]540号通知中的化学药品非处方药说明书规范细则的格式及OTC化学药品说明书范本对克林霉素甲硝唑搽剂的说明书格式及内容进行修订。,湖北省药品监督管理局,2024-01-22,已备案,详情
桂备2024002119,银花芒果颗粒,国药准字Z20026295,一力制药（南宁）有限公司,南宁市龙锦路5号,一力制药（南宁）有限公司,南宁市龙锦路5号,我公司产品银花芒果颗粒，新增“15克×6袋/盒”包装规格，多规整合说明书，并调整包装标签样式及颜色。,广西壮族自治区药品监督管理局,2024-01-22,已备案,详情
滇备2024002822,牛黄解毒片,国药准字Z53020239,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
鲁备2024001767,阿托伐他汀钙片,国药准字H20213751,山东新华制药股份有限公司,淄博市高新技术产业开发区化工区,"山东新华制药股份有限公司,杭州民生滨江制药有限公司","山东省淄博市高新区鲁泰大道1号,浙江省杭州市滨江区滨安路 658 号 2 幢",阿托伐他汀钙片（规格：20mg，国药准字H20213751）新增生产地址：山东新华制药股份有限公司 山东省淄博市高新区鲁泰大道1号202XY车间一楼片剂2#线，新生产场地变更部分工艺参数和部分生产设备，原生产场地不变。新生产场地生产产品的说明书和标签中生产场地信息进行相应修订。变更后20mg阿托伐他汀钙片共有2个生产地址：（1）山东新华制药股份有限公司 山东省淄博市高新区鲁泰大道1号（2）杭州民生滨江制药有限公司 浙江省杭州市滨江区滨安路658号2幢。,山东省药品监督管理局,2024-01-22,已备案,详情
黔备2024002105,川参通注射液,国药准字Z20020007,贵州瑞和制药有限公司,贵州省黔南州龙里县冠山街道高新技术产业园区瑞和大健康产业园,贵州瑞和制药有限公司,贵州省龙里县龙山镇望城坡,申请变更川参通注射液有效期由18个月变更为24个月,贵州省药品监督管理局,2024-01-22,2024年04月29日，撤销备案,详情
滇备2024002865,黄藤素软胶囊,国药准字Z20060222,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,黄藤素软胶囊（12粒X2板/盒X300盒）药品说明书及药品标签里的“上市许可持有人”的【注册地址】项和“生产企业”的【生产地址】项由原来的“昆明市经济技术开发区经宏路”变更为“中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号”。（实际地址未发生变更，仅为行政区域名称调整。）,云南省药品监督管理局,2024-01-22,已备案,详情
滇备2024002621,感冒清热颗粒,国药准字Z53020237,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,感冒清热颗粒（12gX10袋/包X100包）药品说明书及药品标签里的“上市许可持有人”的【注册地址】项和“生产企业”的【生产地址】项由原来的“昆明市经济技术开发区经宏路”变更为“中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号”。（实际地址未发生变更，仅为行政区域名称调整。）,云南省药品监督管理局,2024-01-22,已备案,详情
皖备2024002270,乳酸钠林格注射液,国药准字H20033736,安徽双鹤药业有限责任公司,安徽省芜湖市三山经济开发区天成路2号,安徽双鹤药业有限责任公司,安徽省芜湖市三山经济开发区天成路2号,申请将直立式聚丙烯输液袋包装的乳酸钠林格注射液有效期由18个月延长至24个月，按照《药品说明书和标签管理规定》要求，调整说明书备案内容。,安徽省药品监督管理局,2024-01-22,已备案,详情
滇备2024002831,舒筋定痛胶囊,国药准字Z20090009,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由云南省昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
吉备2024002737,三合钙咀嚼片,国药准字H22024051,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由吉林高新区台北路65号变更为长春经济技术开发区辽港街991号,吉林省药品监督管理局,2024-01-22,已备案,详情
滇备2024002807,龙蛾酒,国药准字Z53020234,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
苏备2024002021,盐酸帕洛诺司琼注射液,国药准字20194042,正大天晴药业集团股份有限公司,江苏省连云港市郁州南路369号,正大天晴药业集团股份有限公司,江苏省连云港市郁州南路369号,按照《已上市化学药品药学变更研究技术指导原则（试行）》要求，根据质量标准YBH06052021制定了稳定性考察方案，稳定性数据结果符合方案要求，现将本品有效期由36个月延长至60个月。,江苏省药品监督管理局,2024-01-22,已备案,详情
渝备2024002898,镇咳宁糖浆,国药准字Z20194123,重庆希尔安药业有限公司,重庆市合川工业园区希尔安路168号,重庆希尔安药业有限公司,重庆市合川工业园区希尔安路168号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由河南中杰药业有限公司变更为重庆希尔安药业有限公司;生产企业地址由河南省新乡市火车南站变更为重庆市合川工业园区希尔安路168号,重庆市药品监督管理局,2024-01-22,已备案,详情
辽备2024002695,银杏叶片,国药准字Z20054975,锦州福寿堂医药科技有限公司,辽宁省锦州市凌河区文兴里8-37号,锦州福寿堂医药科技有限公司,辽宁省锦州市凌海市大业乡程广村,银杏叶片大片规格有效期：18个月，变更为有效期：36个月。,辽宁省药品监督管理局,2024-01-22,已备案,详情
苏备2024002009,注射用水溶性维生素,国药准字H32023002,费森尤斯卡比华瑞制药有限公司,江苏省无锡市滨湖区马山北闸路16号,费森尤斯卡比华瑞制药有限公司,江苏省无锡市滨湖区马山北闸路16号,根据《已上市化学药品药学变更研究技术指导原则（试行）》，本品在“生物素”的原料药供应商基础上增加“浙江昌海制药有限公司”。,江苏省药品监督管理局,2024-01-22,已备案,详情
滇备2024002833,藿香正气颗粒,国药准字Z53020238,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
吉备2024002734,氯霉素片,国药准字H22023888,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由吉林高新区台北路65号变更为长春经济技术开发区辽港街991号,吉林省药品监督管理局,2024-01-22,已备案,详情
吉备2024002740,葡醛内酯片,国药准字H22024777,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,吉林吴太感康药业有限公司,长春经济技术开发区辽港街991号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由吉林高新区台北路65号变更为长春经济技术开发区辽港街991号,吉林省药品监督管理局,2024-01-22,已备案,详情
滇备2024002847,杏香兔耳风软胶囊,国药准字Z20080649,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由云南省昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
渝备2024002899,正心泰胶囊,国药准字Z10980010,重庆希尔安药业有限公司,重庆市合川工业园区希尔安路168号,重庆希尔安药业有限公司,重庆市合川工业园区希尔安路168号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由烟台天正药业有限公司变更为重庆希尔安药业有限公司;生产企业地址由烟台市莱山区天正路9号变更为重庆市合川工业园区希尔安路168号,重庆市药品监督管理局,2024-01-22,已备案,详情
滇备2024002844,感冒退热颗粒,国药准字Z53020229,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由昆明市经济技术开发区经宏路变更为中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南省药品监督管理局,2024-01-22,已备案,详情
闽备2024002604,10%脂肪乳（OO）/5.5%氨基酸（15）/葡萄糖（20%）注射液,国药准字H20234621,福建盛迪医药有限公司,厦门市海沧区翁角西路2036号厦门生物医药产业园A19号楼一层之五十三,江苏恒瑞医药股份有限公司,连云港经济技术开发区临港产业区东晋路,本品有效期由“18个月”变更为“24个月”。说明书和质量标准的有效期项进行相应修订。,福建省药品监督管理局,2024-01-22,已备案,详情
