备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
新备2024001969,山花晶,国药准字Z65020032,新疆伊犁全鹿制药有限公司,新疆伊犁州伊宁市创业路16号,新疆伊犁全鹿制药有限公司,新疆伊犁州伊宁市创业路16号,1、根据药品说明书内容变更包装标签内容，标签增加已批准商标等内容，其文字内容同批准一致，合并药品标签和说明书。,新疆维吾尔自治区药品监督管理局,2024-01-26,已备案,详情
闽备2024004910,复方赖氨酸颗粒,国药准字H35021391,福建南少林药业有限公司,福建省福清市石竹街道福政路10号,福建南少林药业有限公司,福建省福清市石竹街道福政路10号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业地址由福建省福清市融侨经济技术开发区变更为福建省福清市石竹街道福政路10号,福建省药品监督管理局,2024-01-26,已备案,详情
湘备2024002493,妇科十味胶囊,国药准字Z20080172,湖南状元制药有限公司,长沙市浏阳经济技术开发区督正路229号 ,江右制药（常德）有限公司,湖南省常德市安乡县工业园区,因药品生产许可证变更，更新药品上市许可持有人名称、生产企业名称、生产地址名称（药品上市许可持有人未发生变更）。药品上市许可持有人名称由“长沙爱贝高药业有限公司”更新为“湖南状元制药有限公司”。,湖南省药品监督管理局,2024-01-26,已备案,详情
桂备2024003236,复方丹参片,国药准字Z36021418,广西泰诺制药有限公司,贵港市港北区狮岭路939号,广西泰诺制药有限公司,贵港市港北区狮岭路939号,"9.下列变更事项中属于中等变更的情形；9.1变更药品包装规格；
10、国家药品监督管理部门规定统一按要求补充完善说明书的变更；
11、根据说明书内容变更标签相应内容；
根据药品补充申请批准通知书受理号为：CYZB2301386（同意复方丹参片上市许可持有人名称由“江西心正药业有限责任公司”变更为“广西泰诺制药有限公司”地址由“江西省萍乡市高新技术工业园东区”变更为“贵港市港北区狮岭路939号”）和国家药监局关于实施2020年版《中华人民共和国药典》有关事宜的公告（2020年第80号）及桂备202400004号批件（备案内容为：生产企业名称由“江西心正药业有限责任公司”变更为“广西泰诺制药有限公司”生产企业地址由“江西省萍乡市高新技术工业园东区”变更为“贵港市港北区狮岭路939号”）的相关信息，按《药品说明书和标签管理规定（局令第24号）》的规定修订药品说明书、标签，并参照江西心正药业有限责任公司的说明书、标签样稿编写修订说明。
一、说明书
1、警示语“孕妇慎用。”变更为“孕妇慎用”；
2、【规格】由“每片重0.25g”变更为“每片重0.25克”；
3、【包装】由“塑料瓶 每瓶装40片，每盒装1瓶。”变更为“口服固体药用高密度聚乙烯瓶装，200片/瓶。”
4、【有限期】由“24个月。”变更为“24个月”；
5、【执行标准】由“中国药典2015年版第一部”变更为“《中国药典》2020年版一部及药品再注册批件2021R000588”；
6、“【生产企业】企业名称：江西心正药业有限责任公司 生产地址：江西省萍乡市高新技术工业园东区 邮政编码：33700 电话号码：0799-6652618 传真号码：0799-6652619 注册地址：江西省萍乡市高新技术工业园东区 网址：www.sizo.cn”变更为“药品上市许可持有人/生产企业：广西泰诺制药有限公司（原广西冠峰集团贵港市制药有限公司） 注册地址/生产地址：贵港市港北区狮岭路939号 邮政编码：537100 电话号码：0775-4555228 传真号码：0775-4555228”；
7、其余文字内容无变更，与江西心正药业有限责任公司的说明书样稿基本一致，图案式样详见申请表附件说明书样稿。
二、标签
（一）标签
1、增加“冠峰”商标；
2、增加“请仔细阅读说明书并按说明使用或在药师的指导下购买和使用”“Fufang Danshen Pian”“【规格】每片重0.25克”“【包装】口服固体药用高密度聚乙烯瓶装，200片/瓶。”“200片/瓶”等字样；
3、删除“【用法用量】口服。一次3片，一日3次。”
4、“【有效期】”变更为“【有效期】至”；
5、“江西心正药业有限责任公司”变更为“广西泰诺制药有限公司（原广西冠峰集团贵港市制药有限公司）”；
6、其余文字内容与江西心正药业有限责任公司复方丹参片的标签样稿基本一致，图案式样详见申请表附件标签样稿。
（二）盒子
1、增加“冠峰”商标；
2、增加“Fufang Danshen Pian”“活血化瘀 理气止痛”“200片 糖衣片”“冠峰集团GuanfengGroup”等字样；
3、删除“江西心正药业有限责任公司”；
4、侧面内容变更为复方丹参片说明书内容；
5、商品条码为“6932412100853”；
6、增加“药品追溯码”样式；
7、其余文字内容与江西心正药业有限责任公司复方丹参片的盒子样稿基本一致，图案式样详见申请表附件盒子样稿。",广西壮族自治区药品监督管理局,2024-01-26,已备案,详情
浙备2024002773,低钙腹膜透析液（乳酸盐-G2.5%）,国药准字H20234244,浙江天瑞药业有限公司,浙江省瑞安市经济开发区毓蒙路,浙江天瑞药业有限公司,浙江省瑞安经济开发区毓蒙路,按照国家药品监督管理局《关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）和《关于“通过一致性评价”标识使用有关事宜的说明》（2018年第24号附件2）的相关要求，修订说明书和标签内容，增加“通过一致性评价”标识。,浙江省药品监督管理局,2024-01-26,已备案,详情
桂备2024003146,益心健脾颗粒,国药准字B20020351,广西麦克健丰制药有限公司,南宁市武鸣区伊岭开发区,广西麦克健丰制药有限公司,南宁市武鸣区伊岭开发区,“麦克益美”商标修订为“麦克睡诺”商标；版面设计样式改变。,广西壮族自治区药品监督管理局,2024-01-26,已备案,详情
滇备2024003376,田七颗粒,国药准字Z53020232,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,云南云龙制药股份有限公司,中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号,田七颗粒（3gX10袋/盒X120盒）药品说明书及药品标签里的“上市许可持有人”的【注册地址】项和“生产企业”的【生产地址】项由原来的“昆明市经济技术开发区经宏路”变更为“中国（云南）自由贸易试验区昆明片区经开区阿拉街道办昌宏社区经宏路5号”。（实际地址未发生变更，仅为行政区域名称调整。）,云南省药品监督管理局,2024-01-26,已备案,详情
吉备2024003075,门冬胰岛素注射液,国药准字S20230075,惠升生物制药股份有限公司,吉林省梅河口市爱民东大街1088号,惠升生物制药股份有限公司,吉林省梅河口市爱民东大街1088号,根据《药品注册管理办法》（局令第27号）、《药品说明书和标签管理规定》（国家食品药品监督管理局令24号）及相关规定变更卡式瓶（笔芯），笔式注射器溴化丁基橡胶活塞，笔式注射器用铝盖，每盒1支药品标签，样稿如附件所示（附件见吉林省药品监督管理局网站），企业负责标签内容的真实性与合法性。,吉林省药品监督管理局,2024-01-26,已备案,详情
川备2024003525,氯化钠注射液,国药准字H20044305,四川科伦药业股份有限公司,成都市新都卫星城工业开发区南二路,"四川科伦药业股份有限公司,山东科伦药业有限公司,河南科伦药业有限公司","四川省成都市新都卫星城工业开发区南二路,四川省眉山市仁寿县平安大道（仁寿工业园区）,四川省广安市岳池县工业园区,四川省成都市新都卫星城工业开发区南二路塑料容器输液车间W线,山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间D线(聚丙烯输液瓶),四川省成都市新都卫星城工业开发区南二路塑料容器输液车间A线,山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间B线(直立式聚丙烯输液袋),河南省安阳市汤阴县产业集聚区工纵三街北段大容量注射剂车间C线（聚丙烯输液瓶）","因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由四川科伦药业股份有限公司变更为四川科伦药业股份有限公司,山东科伦药业有限公司,河南科伦药业有限公司;生产企业地址由四川省成都市新都卫星城工业开发区南二路,四川省眉山市仁寿县平安大道（仁寿工业园区）,四川省广安市岳池县工业园区,四川省成都市新都卫星城工业开发区南二路塑料容器输液车间W线的基础上增加山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间D线(聚丙烯输液瓶),四川省成都市新都卫星城工业开发区南二路塑料容器输液车间A线的基础上增加山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间B线(直立式聚丙烯输液袋)变更为四川省成都市新都卫星城工业开发区南二路,四川省眉山市仁寿县平安大道（仁寿工业园区）,四川省广安市岳池县工业园区,四川省成都市新都卫星城工业开发区南二路塑料容器输液车间W线,山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间D线(聚丙烯输液瓶),四川省成都市新都卫星城工业开发区南二路塑料容器输液车间A线,山东省滨州市滨城区小营镇拥政路12号塑料容器输液车间B线(直立式聚丙烯输液袋),河南省安阳市汤阴县产业集聚区工纵三街北段大容量注射剂车间C线（聚丙烯输液瓶）",四川省药品监督管理局,2024-01-26,已备案。该药品同时发生（药品生产工艺、处方、质量标准等）变更，获得批准或备案完成后方可生产上市。,详情
冀备2024003319,注射用尼可地尔,国药准字H20234691,仁合益康集团有限公司,河北省石家庄市赵县新寨店镇工业园区海兴路7号,河北仁合益康药业有限公司,衡水市武邑县清凉店镇,申请本品按照国家相关文件精神在说明书和标签上添加“通过一致性评价”标识。承诺说明书和包装标签其他项目及内容未擅自修改，并符合国家食品药品监督管理局第24号令及有关文件的要求。,河北省药品监督管理局,2024-01-26,已备案,详情
