备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
粤备2024016805,吸入用异丙托溴铵溶液,国药准字H20203453,健康元药业集团股份有限公司,深圳市南山区高新北区朗山路17号健康元药业集团大厦,"健康元海滨药业有限公司,深圳太太药业有限公司","深圳市坪山区坑梓街道金辉路11号,深圳市南山区第五工业区太太药业大厦",吸入用异丙托溴铵溶液（2ml:0.25mg）增加原料药供应商“新乡海滨药业有限公司”，同时修订原料药内控标准。,广东省药品监督管理局,2024-05-15,已备案,详情
Y鲁备2024016736,苯磺酸左氨氯地平,Y20190002116,无,无,山东鲁抗医药股份有限公司,山东省济宁市高新技术开发区东外环路6号、山东省邹城市邹城工业园区华鲁路99号,苯磺酸左氨氯地平在原生产地址（山东省济宁市高新技术开发区东外环路6号）基础上增加生产地址：山东省邹城市邹城工业园区华鲁路99号708车间原料药生产线（多功能合成二线），同时增加混粉步骤，变更部分生产设备。标签生产地址进行相应修订。,山东省药品监督管理局,2024-05-15,已备案,详情
桂备2024016643,补血当归精,国药准字Z45021523,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,1、变更药品包装标签样式。2、其他文字内容保持不变。,广西壮族自治区药品监督管理局,2024-05-15,已备案,详情
陕备2024017798,甘露醇注射液,国药准字H61020003,西安京西双鹤药业有限公司,西安市鄠邑区古城路,西安京西双鹤药业有限公司,西安市鄠邑区古城路,申请在包装的标签、说明书【注意事项】项下增加“运动员慎用”的内容，其它内容不变。,陕西省药品监督管理局,2024-05-15,已备案,详情
皖备2024016405,拉考沙胺片,国药准字H20223089,合肥英太制药有限公司,合肥市包河大道8号,合肥英太制药有限公司,合肥市包河大道8号,"根据《已上市化学药品药学变更研究技术指导原则（试行）》五、变更制剂生产工艺（二）中等变更项下第一种情形“变更不影响制剂关键质量属性的工艺参数”,我公司拉考沙胺片（50mg）变更了生产工艺参数，包括压片工序（设备转速、左右轨压力值）。",安徽省药品监督管理局,2024-05-15,已备案,详情
冀备2024017931,肾石通颗粒,国药准字Z13020161,秦皇岛大恩药业有限公司,河北省秦皇岛市卢龙经济开发区工业园区,秦皇岛大恩药业有限公司,河北省秦皇岛市卢龙经济开发区工业园区,"申请备案本品生产企业变更为秦皇岛大恩药业有限公司，具体地址见《药品生产许可证》。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性,必要时提出补充申请。",河北省药品监督管理局,2024-05-15,已备案,详情
冀备2024017731,过氧化氢溶液,国药准字H13022172,河北武罗药业有限公司,景县衡德工业园区景德路366号,河北武罗药业有限公司,河北省衡水市景县衡德工业园区中矿路7号,备案本品生产场地变更（增加“河北省衡水市景县衡德工业园区中矿路7号”）、原料药生产商变更（增加“天津市东方广诚医药化工有限公司”）。我公司对申报资料的真实性、准确性、完整性负责，并将持续关注变更后产品安全性、有效性和质量可控性，必要时提出补充申请。,河北省药品监督管理局,2024-05-15,已备案,详情
皖备2024015681,替硝唑葡萄糖注射液,国药准字H34021582,安徽天洋药业有限公司,安徽省天长市天铜路46号,安徽天洋药业有限公司,安徽省天长市天铜路46号,替硝唑葡萄糖注射液说明书根据“国家药监局关于修订替硝唑注射剂说明书的公告（2024年第31号）”增加黑框警告内容，并对不良反应、禁忌、注意事项、药物相互作用、药物过量项进行修订。修订内容的准确性和完整性由上市许可持有人负责。,安徽省药品监督管理局,2024-05-15,已备案,详情
京备2024016212,盐酸倍他司汀注射液,国药准字H11022022,华润双鹤药业股份有限公司,北京市朝阳区望京利泽东二路1号,华润双鹤药业股份有限公司,北京市朝阳区双桥东路2号,根据《国家药监局关于修订倍他司汀制剂说明书的公告》（2023年第72号）要求，修订盐酸倍他司汀注射液（批准文号：国药准字H11022022）说明书中的【不良反应】、【禁忌】、【注意事项】、【孕妇及哺乳期妇女用药】、【儿童用药】、【药物相互作用】、【药物过量】等内容，并对标签信息相关内容做相应修订。,北京市药品监督管理局,2024-05-15,已备案,详情
辽备2024017803,注射用阿奇霉素,国药准字H20243582,东药集团沈阳施德药业有限公司,沈阳经济技术开发区昆明湖街8号,东北制药集团沈阳第一制药有限公司,沈阳经济技术开发区昆明湖街8号,按照国家药品监督管理局《关于“通过一致性评价”标识使用有关事宜的说明》，在说明书及标签中增加“通过一致性评价”标识，并根据已批准的药品说明书修改包装标签。,辽宁省药品监督管理局,2024-05-15,已备案,详情
桂备2024017608,参芪首乌补汁,国药准字Z45021524,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,"1、变更药品包装标签样式。
2、其他文字内容保持不变。",广西壮族自治区药品监督管理局,2024-05-15,已备案,详情
陕备2024010232,六味地黄丸,国药准字Z61020276,陕西康纳多药业有限公司,陕西省西咸新区沣西新城沣西国际大厦1号楼2203室,陕西利君现代中药有限公司,渭南高新区东风大街西段,"1.六味地黄丸（大蜜丸）新增委托生产企业，生产企业名称：陕西利君现代中药有限公司；生产地址：渭南高新区东风大街西段。
2.恢复生产。",陕西省药品监督管理局,2024-05-15,已备案,详情
桂备2024017307,川贝清肺糖浆,国药准字Z45022330,荣康集团广西康世缘制药有限公司,广西-东盟经济技术开发区宁武路21号,荣康集团广西康世缘制药有限公司,广西-东盟经济技术开发区宁武路21号,"1、药品说明书修订内容如下：
（1）商标由“轻克”变更为“佳越堂”；
（2）【包装】“口服液体药用聚酯瓶，每瓶装165毫升”变更为“口服液体药用聚酯瓶，每瓶装125毫升”；
（3）说明书图案及样式改变。
2、药品包装小标签修订内容：
（1）商标由“轻克”变更为“佳越堂”；
（2）“165毫升/瓶”变更为“125毫升/瓶”；
（3）增加药品名称拼音；
（4）标签的图案及样式改变。
3、药品纸盒修订内容如下：
（1）纸盒正面：商标由“轻克”变更为“佳越堂”；“165毫升/瓶””变更为“125毫升/瓶”；
（2）纸盒侧面：【包装】由“口服液体药用聚酯瓶，每瓶装165毫升”变更为“口服液体药用聚酯瓶，每瓶装125毫升”；
（2）纸盒样式及图案改变。",广西壮族自治区药品监督管理局,2024-05-15,已备案,详情
