备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
晋备2024010503,葡萄糖酸钙片,国药准字H14021925,山西同达药业有限公司,大同市经济开发区第一医药工业园区,山西同达药业有限公司,山西省大同市经济技术开发区第一医药园区,申请恢复生产：本品药品再注册审批结论为长期未生产品种，目前已完成恢复生产前药学研究、现场检查、注册检验，按要求提交了3个月稳定性考察研究资料，具备组织生产条件，现申请恢复生产，关联变更生产场地，葡萄糖酸钙片药品生产场地由“山西省大同市经济技术开发区恒安街1378号”变更为“山西省大同市经济技术开发区第一医药园区”，同时关联原料药葡萄糖酸钙供应商变更，对生产场地变更后的药品说明书及标签备案。,山西省药品监督管理局,2024-03-28,已备案,详情
川备2024010753,氟尿嘧啶注射液,国药准字H20234741,健进制药有限公司,四川省成都高新区西部园区科新路8号附9号,健进制药有限公司,成都高新综合保税区科新路8号附9号,申请在氟尿嘧啶注射液，规格：10ml：0.5g产品说明书、包装标签上使用“通过一致性评价”标识。,四川省药品监督管理局,2024-03-28,已备案,详情
琼备2024010628,尼麦角林片,国药准字H10980103,海南科莱维药业有限公司,海南省海口市琼山区国兴大道2号海航豪庭南苑一区1栋603室、603A室,海南赞邦制药有限公司,海南省海口市科园路20号,根据国家局《关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）的相关要求，我司品种尼麦角林片说明书及标签中增加通过一致性评价的标识。,海南省药品监督管理局,2024-03-28,已备案,详情
皖备2024010101,地氯雷他定口服溶液,国药准字H20213651,合肥恩瑞特药业有限公司,安徽省合肥市肥西县经济开发区文山路10号,合肥恩瑞特药业有限公司,安徽省合肥市经开区桃花工业园文山路10号,（1）包材变更：将口服液体药用聚酯瓶（与药品直接接触的材质：聚酯（PET），生产厂家：西安方正塑料品制造有限公司）变更为口服液体药用高密度聚乙烯瓶（与药品直接接触的材质：高密度聚乙烯（HDPE），生产厂家：西安方正塑料品制造有限公司）。将口服药用高密度聚乙烯压旋盖（与药品直接接触的材质：高密度聚乙烯（HDPE），生产厂家：西安方正塑料品制造有限公司）变更为口服制剂用儿童安全盖（与药品直接接触的材质：低密度聚乙烯（LDPE），生产厂家：石家庄鑫富达医药包装有限公司）。（2）设备变更：由原灌装设备RQG-8 8泵灌装旋盖机变更为ZGX12直线式灌装旋盖机（SK-051）及配套的GSLP高速理瓶机（SK-050），变更前后设备的设计和工作原理相同。,安徽省药品监督管理局,2024-03-28,已备案,详情
鄂备2024010238,磷酸奥司他韦颗粒,国药准字H20080763,宜昌东阳光长江药业股份有限公司,湖北省宜昌宜都市滨江路38号,宜昌东阳光长江药业股份有限公司,湖北省宜昌宜都市滨江路38号；湖北省宜昌宜都市东阳光3号工业园,"我公司对本品进行如下变更：
1.处方变更：增加矫味剂三氯蔗糖，其增加用量占处方总重量的0.90%；减少填充剂蔗糖用量，其减少用量占处方总重量的0.90%。
2.生产工艺变更：原料药过筛方式由手工过筛变更为移动式整粒机过筛；增加三氯蔗糖混合和过筛操作；变更总混时间；变更总混加料顺序。",湖北省药品监督管理局,2024-03-28,已备案,详情
津备2024011117,门冬胰岛素注射液,国药准字S20217012,诺和诺德（中国）制药有限公司,天津经济技术开发区南海路,诺和诺德（中国）制药有限公司,天津经济技术开发区南海路99号,诺和诺德（中国）制药有限公司申请变更门冬胰岛素注射液（3ml:300单位（特充））制造与检定规程附录2 中“笔式注射器用硼硅玻璃套筒”的供应商名称，由“肖特瑞士公司;肖特瑞士公司;肖特玻璃科技（苏州）有限公司”变更为“SCHOTT Pharma Schweiz AG；SCHOTT Pharma Schweiz AG；肖特药品包装（浙江）有限公司”，实际药包材未发生变化。,天津市药品监督管理局,2024-03-28,已备案,详情
津备2024011115,门冬胰岛素50注射液,国药准字S20227009,诺和诺德（中国）制药有限公司,天津经济技术开发区南海路,诺和诺德（中国）制药有限公司,天津经济技术开发区南海路99号,诺和诺德（中国）制药有限公司申请变更门冬胰岛素50注射液（3ml:300 单位（笔芯））制造与检定规程附录2 中“笔式注射器用硼硅玻璃套筒”的供应商名称，由“肖特瑞士公司;肖特瑞士公司;肖特玻璃科技（苏州）有限公司”变更为“SCHOTT Pharma Schweiz AG；SCHOTT Pharma Schweiz AG；肖特药品包装（浙江）有限公司”，实际药包材未发生变化。,天津市药品监督管理局,2024-03-28,已备案,详情
甘备2024005132,联苯双酯胶囊,国药准字H62021078,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,甘肃成纪生物药业有限公司,甘肃省天水市麦积区廿铺工业示范区,按照原国家食品药品监督管理局24号令等有关规定，企业对计划复产品种联苯双酯胶囊两种包装规格“药用塑料瓶，30粒/瓶”和“铝塑板装，9粒/板*2板/盒”的说明书及“铝塑板装，9粒/板*2板/盒”的纸盒、药用铝箔、标签包装材料申请备案，并在说明书及标签上增加上市许可持有人。,甘肃省药品监督管理局,2024-03-28,2024年04月23日，撤销备案,详情
琼备2024014337,氟康唑胶囊,国药准字H10950199,海南海神同洲制药有限公司,海口国家高新区药谷工业园药谷二路6号,海南海神同洲制药有限公司,海口国家高新区药谷工业园药谷二路6号,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由海南全星制药有限公司变更为海南海神同洲制药有限公司;生产企业地址由海南省海口市保税区A06-2变更为海口国家高新区药谷工业园药谷二路6号,海南省药品监督管理局,2024-03-28,已备案,详情
滇备2024010621,熊胆粉,国药准字Z19991017,瑞丽彩云南集团药业有限公司,中国（云南）自由贸易试验区德宏片区瑞丽市金滇路2号1楼6号,瑞丽彩云南集团药业有限公司,中国（云南）自由贸易试验区德宏片区瑞丽市金滇路2号1楼6号,熊胆粉的说明书及标签备案：1、熊胆粉说明书注册商标修改为“葆刚”、【包装】项新增0.1g/瓶×100瓶/盒、【销售/售后服务电话】修改为：15997671325； 2、熊胆粉标签盒子注册商标修改为“葆刚”、【包装】项新增0.1g/瓶×100瓶/盒、【销售/售后服务电话】修改为：15997671325,云南省药品监督管理局,2024-03-28,已备案,详情
Y苏备2024001660,盐酸溴己新,国药准字H20083807登记号Y20190007187,无,无,太仓制药厂,太仓市城厢镇新毛区毛观堂桥堍、太仓港港口开发区石化区滨海路8号,药品再注册批准通知书（2023R001291）要求，已完成现场检查和检验工作，现恢复生产.,江苏省药品监督管理局,2024-03-28,已备案,详情
