备案号,药品通用名称,药品批准文号/原料药登记号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
甘备2024014187,小儿氨酚黄那敏片,国药准字H62020978,甘肃河西制药有限责任公司,甘肃省张掖市甘州区东街123号,甘肃河西制药有限责任公司,甘肃省张掖市国家级张掖经济技术开发区生态科技产业园创业路1号,按照原国家食品药品监督管理局24号令、国家药监局关于修订氨酚麻美口服溶液等14个品种药品说明书的公告（2021年第57号）等有关规定，对包装规格为“内包装系PVC硬片、铝箔。每板装12片。”的小儿氨酚黄那敏片药品说明书进行变更。增加警示语、修订【注意事项】项。,甘肃省药品监督管理局,2024-04-24,2024年05月16日，撤销备案,详情
藏备2024014799,七味血病丸,国药准字Z20023241,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由西藏昌都藏药厂变更为西藏仙露藏药有限公司,西藏自治区药品监督管理局,2024-04-24,已备案,详情
鄂备2024013155,安神补心丸,国药准字Z42021315,李时珍医药集团有限公司,湖北省蕲春县本草纲目生物科技园区,李时珍医药集团有限公司,湖北省蕲春县本草纲目生物科技园区,根据国家食品药品监督管理局“《药品说明书和标签管理规定》（局令第24号）”和“中成药非处方药说明书规范细则”、“省药品监督管理局关于药品说明书和包装标签备案有关的事宜通知”的相关要求，对安神补心丸每瓶装60g的说明书和标签作出修订。,湖北省药品监督管理局,2024-04-24,已备案,详情
蒙备2024014559,依那普利氢氯噻嗪分散片,国药准字H20080070,赤峰维康生化制药有限公司,赤峰市红山区东城大街818号,赤峰维康生化制药有限公司,赤峰市红山区东城大街818号,申请依那普利氢氯噻嗪分散片“聚酰胺/铝/聚氯乙烯冷冲压成型固体药用复合硬片/药用铝箔泡罩包装，18片/板×2板/盒”包装规格的外包装标签重新备案。申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-04-24,已备案,详情
川备2024012779,盐酸纳美芬注射液,国药准字H20184018,成都国为生物医药有限公司,成都高新区九兴大道 6号3栋2楼201号、4楼402号、5楼1号附513号、B栋3楼319号,成都天台山制药股份有限公司,四川省邛崃市天兴大道88号,申请将受托生产企业名称由“成都天台山制药有限公司”变更为“成都天台山制药股份有限公司”，其他内容不变；说明书标签做相应的修订。,四川省药品监督管理局,2024-04-24,已备案,详情
浙备2024009124,噻托溴铵吸入粉雾剂,国药准字H20090279,浙江仙琚制药股份有限公司,浙江省台州市仙居县仙药路1号,浙江仙琚制药股份有限公司,浙江省台州市仙居县福应街道现代工业集聚区兴业路6号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号），作为第一批参与试点的药品上市许可持有人对噻托溴铵吸入粉雾剂的说明书进行相应的修订。修订内容为：提供纸质药品说明书（简化版），并在纸质药品说明书（简化版）上设计一个可获得电子说明书（完整版）的二维码。,浙江省药品监督管理局,2024-04-24,已备案,详情
藏备2024014814,帕朱丸,国药准字Z20023202,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由西藏昌都藏药厂变更为西藏仙露藏药有限公司,西藏自治区药品监督管理局,2024-04-24,已备案,详情
鲁备2024014150,盐酸曲美他嗪片,国药准字H20066534,瑞阳制药股份有限公司,山东省沂源县城瑞阳路1号,瑞阳制药股份有限公司,山东省沂源县城瑞阳路1号,根据《国家药监局关于发布药品说明书适老化及无障碍改革试点工作方案的公告》（2023年第142号）和《药品说明书适老化及无障碍改革试点名单（第一批）》，对本品药品说明书（简化版）进行备案，同时提供电子药品说明书（完整版）。,山东省药品监督管理局,2024-04-24,已备案,详情
藏备2024014819,十味手参散,国药准字Z54020047,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由西藏昌都藏药厂变更为西藏仙露藏药有限公司,西藏自治区药品监督管理局,2024-04-24,已备案,详情
桂备2024014085,石淋通颗粒,国药准字Z45021436,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,广西正堂药业有限责任公司,广西柳州市鹿寨县城建中西路86号,"1、变更药品包装标签样式。
2、其他文字内容保持不变。",广西壮族自治区药品监督管理局,2024-04-24,已备案,详情
粤备2024013676,贝伐珠单抗注射液,国药准字S20210045,百奥泰生物制药股份有限公司,广州高新技术产业开发区科学城开源大道11号A6栋第五层,百奥泰生物制药股份有限公司,广州市黄埔区永和经济开发区摇田河大街155号,1）修订培养基溶解度项可接受标准；2）修订胶塞质量标准。,广东省药品监督管理局,2024-04-24,已备案,详情
鲁备2024014088,硝酸甘油气雾剂,国药准字H37021173 国药准字H20103547,山东京卫制药有限公司,山东省泰安市高新技术产业开发区配天门大街西首,山东京卫制药有限公司,山东省泰安高新技术产业开发区擂鼓石大街5号,增加硝酸甘油气雾剂原料药硝酸甘油溶液生产厂家：陕西大生制药科技有限公司，登记号：Y20190006537。,山东省药品监督管理局,2024-04-24,已备案,详情
Y浙备2024013970,瑞戈非尼,Y20220000148,无,无,浙江华义制药有限公司,浙江省义乌市佛堂镇双峰路15号,有效期由24个月修订为36个月。,浙江省药品监督管理局,2024-04-24,已备案,详情
鄂备2024013426,复方小儿退热栓,国药准字Z20044417,武汉健民大鹏药业有限公司,湖北省武汉市东西湖区吴南路15号,武汉健民大鹏药业有限公司,湖北省武汉市吴家山台商投资区特一号,我司根据国家药品监督管理局于2020年03月03日发布的《国家药监局关于修订对乙酰氨基酚常释及缓释制剂说明书的公告》（2020年 第15号）的要求，对复方小儿退热栓标签及说明书中【不良反应】、【禁忌】和【注意事项】内容进行修订。,湖北省药品监督管理局,2024-04-24,已备案,详情
藏备2024014802,二十五味松石丸,国药准字Z54020050,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,西藏仙露藏药有限公司,西藏昌都市昌都经济开发区C区C04-01-01,因药品生产许可证变更，更新药品注册批准文件载明的生产企业名称或地址。生产企业名称由西藏昌都藏药厂变更为西藏仙露藏药有限公司,西藏自治区药品监督管理局,2024-04-24,已备案,详情
鄂备2024014092,氯巴占片,国药准字H20223677,宜昌人福药业有限责任公司,湖北省宜昌开发区大连路19号,宜昌人福药业有限责任公司,湖北省远安县鸣凤大道99号,申请氯巴占片药品有效期由18个月延长至24个月，同时修订药品说明书和标签的相应内容。,湖北省药品监督管理局,2024-04-24,已备案,详情
川备2024014168,元胡止痛片,国药准字Z51021813,四川旭阳药业有限责任公司,荣县旭阳镇蓝帝大道1333号,四川旭阳药业有限责任公司,四川省自贡市荣县旭阳镇蓝帝大道1333号,按照《国家药监局关于修订元胡止痛制剂说明书的公告（2024年第40号）》公告要求，对我公司元胡止痛片（国药准字Z51021813)说明书安全性信息中的不良反应、禁忌、注意事项修订完善。,四川省药品监督管理局,2024-04-24,已备案,详情
蒙备2024014484,壮腰健肾丸,国药准字Z13021143,颈复康药业集团赤峰丹龙药业有限公司,内蒙古自治区赤峰市红山区红山经济开发区丹龙街1号,颈复康药业集团赤峰丹龙药业有限公司,内蒙古自治区赤峰市红山区红山经济开发区丹龙街1号,申请壮腰健肾丸“聚氯乙烯固体药用硬片/药用铝箔泡罩包装，5.6g/丸×10丸/板×1板/盒”包装规格的说明书重新备案。具体变更内容为：规范说明书中的【执行标准】项下内容，由“《部颁标准中药成方制剂（第三册）》（标准编号：WS3-B-0538-91）”变更为“药典业发（2001）第578号标准WS3-B-0538-91”。申请人对申报资料的真实性、准确性、完整性、规范性负责。,内蒙古自治区药品监督管理局,2024-04-24,已备案,详情
