备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,备案内容,备案机关,备案日期,备注,注
粤备2024020979,牛黄解毒片,国药准字Z22025737,深圳爱普愈医药科技有限公司,深圳市龙岗区龙城街道黄阁坑社区京基御景时代大厦1栋1515,吉林天药本草堂制药有限公司,长春高新区茂祥街509号,本品药品上市许可持有人名称由“深圳艾普愈医药科技有限公司”变更为“深圳爱普愈医药科技有限公司”。药品上市许可持有人地址，由“深圳市南山区粤海街道高新区社区高新南六道8号航盛科技大厦1008”变更为“深圳市龙岗区龙城街道黄阁坑社区京基御景时代大厦1栋1515”。,广东省药品监督管理局,2024-06-06,已备案,详情
桂备2024020962,喉舒宁片,国药准字Z20093453,广西吉民堂药业有限公司,广西北海市工业园区合浦民营工业园内,广西鸿济药业集团有限公司,广西壮族自治区北海市海城区（北海经济技术开发区）科旺路10号 ,"(一）标签
一、纸盒
1、重新排版设计。
2、增加药品上市许可持有人信息：药品上市许可持有人为广西吉民堂药业有限公司，注册地址为广西北海市工业园区合浦民营工业园内，电话号码修订为“0779-2685266”，传真号码修订为“0779-2090677”，邮政编码修订为“536100”。 
3、生产企业名称由“成都迪康药业股份有限公司”变更为“广西鸿济药业集团有限公司”，生产地址由“成都高新区西区迪康大道”变更为“广西壮族自治区北海市海城区（北海经济技术开发区）科旺路10号”。
4、商标变更为“鸿济通”。
 二、铝箔
1、重新排版设计。
2、增加药品上市许可持有人相关的信息，药品上市许可持有人：广西吉民堂药业有限公司 
3、生产企业变更为“广西鸿济药业集团有限公司”。 
4、商标变更为“鸿济通”。
(二）说明书
1、增加药品上市许可持有人信息：药品上市许可持有人为广西吉民堂药业有限公司，注册地址为广西北海市工业园区合浦民营工业园内，电话号码修订为“0779-2685266”，传真号码修订为“0779-2090677”，邮政编码修订为“536100”。
2、生产企业名称由“成都迪康药业股份有限公司”变更为“广西鸿济药业集团有限公司”，生产地址由“成都高新区西区迪康大道”变更为“广西壮族自治区北海市海城区（北海经济技术开发区）科旺路10号”。
3、商标变更为“鸿济通”。",广西壮族自治区药品监督管理局,2024-06-06,已备案,详情
苏备2024021246,神曲消食口服液,国药准字Z20153035,扬子江药业集团江苏龙凤堂中药有限公司,泰州市高港区永安洲镇龙凤堂西路9号,扬子江药业集团江苏龙凤堂中药有限公司,泰州市高港区永安洲镇龙凤堂西路9号,"本品生产场地由""泰州市高港区永安洲镇龙凤堂西路9号的前处理1号车间前处理生产线、中药饮片1号车间中药饮片生产线、提取2号车间A栋神曲消食口服液清膏0/P线、口服液1号车间合剂生产线""变更为""泰州市高港区永安洲镇龙凤堂西路9号的前处理1号车间前处理生产线、中药饮片1号车间中药饮片生产线、提取2号车间A栋神曲消食口服液清膏0/P/Q线、口服液1号车间合合剂生产线。""该药品同时发生(药品生产工艺、处方、质量标准等)变更,获得批准或备案完成后方可生产上市。",江苏省药品监督管理局,2024-06-06,已备案,详情
浙备2024021494,甲磺酸贝福替尼胶囊,国药准字H20230011,贝达药业股份有限公司,浙江省杭州市临平区经济技术开发区兴中路355号,贝达药业股份有限公司,浙江省杭州市临平区经济技术开发区兴中路355号,《药品注册证书》的上市许可持有人地址由“浙江省杭州市余杭经济技术开发区兴中路355号”变更为“浙江省杭州市临平区经济技术开发区兴中路355号”，生产企业地址由“杭州市余杭经济技术开发区兴中路355号”变更为“浙江省杭州市临平区经济技术开发区兴中路355号”，并对说明书和包装标签进行同步修订。,浙江省药品监督管理局,2024-06-06,已备案,详情
苏备2024021303,硝酸异山梨酯片,国药准字H32023408,江苏长江药业有限公司,射阳县合德镇红旗路28号,江苏长江药业有限公司,江苏射阳县城红旗路28号,根据《已上市化学药品变更研究指导原则》，硝酸异山梨酯片原料硝酸异山梨酯在原有供应厂商“山东科源制药股份有限公司”基础上增加“西安力邦制药有限公司”。,江苏省药品监督管理局,2024-06-06,已备案,详情
鄂备2024020779,马应龙八宝眼膏,国药准字Z42021455,马应龙药业集团股份有限公司,湖北省武汉市武昌南湖周家湾100号,马应龙药业集团股份有限公司,湖北省武汉市武昌南湖周家湾100号,马应龙八宝眼膏增加生产工艺中全部饮片粉末配研，过筛后的灭菌工艺为辐照灭菌。,湖北省药品监督管理局,2024-06-06,已备案,详情
苏备2024021370,盐酸曲马多注射液,国药准字H20023537,江苏九旭药业有限公司,睢宁经济开发区九旭大道998号,江苏九旭药业有限公司,睢宁经济开发区九旭大道998号,根据《已上市化学药品药学变更研究技术指导原则（试行）》，本品原料药盐酸曲马多的供应商在“石药集团欧意药业有限公司”的基础上增加“多多药业有限公司”。,江苏省药品监督管理局,2024-06-06,已备案,详情
苏备2024020105,盐酸帕罗西汀片,国药准字H20243196,江苏睿实生物科技有限公司,中国（江苏）自由贸易试验区苏州片区苏州工业园区华云路1号东坊产业园C区8号楼5楼,富祥（大连）制药有限公司,大连市旅顺经济开发区顺康街18号,根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在标签中增加“通过一致性评价”标识。,江苏省药品监督管理局,2024-06-06,已备案,详情
鄂备2024020728,磷酸奥司他韦颗粒,国药准字H20093721,宜昌东阳光长江药业股份有限公司,湖北省宜昌宜都市滨江路38号,宜昌东阳光长江药业股份有限公司,湖北省宜昌宜都市东阳光3号工业园,我公司申请延长磷酸奥司他韦颗粒（0.9g）的有效期由12个月至18个月，并相应修改说明书的有关内容。,湖北省药品监督管理局,2024-06-06,已备案,详情
Y晋备2024020803,茴拉西坦,Y20190004582,无,无,亚宝药业集团股份有限公司,山西省风陵渡经济开发区工业大道1号,变更原料药生产场地：申请新增茴拉西坦生产场地原料三车间（步骤一：对甲氧基苯甲酰氯制备工序）和原料五车间（步骤二~步骤六：粗品制备、精制、粉碎、总混、包装工序）。,山西省药品监督管理局,2024-06-06,已备案,详情
苏备2024021360,哌柏西利胶囊,国药准字H20237174,江苏奥赛康药业有限公司,南京江宁科学园科建路699号,江苏奥赛康药业有限公司,南京江宁科学园科建路699号,根据质量标准YBH19942023，制定了稳定性考察方案，稳定性数据结果符合方案要求，现将本品有效期由24个月变更为36个月，说明书按规定修订。,江苏省药品监督管理局,2024-06-06,已备案,详情
皖备2024020914,低钙腹膜透析液（乳酸盐-G2.5%）,国药准字H20183163,芜湖道润药业有限责任公司,芜湖市繁昌经济开发区纬三路南经六路西交叉口,芜湖道润药业有限责任公司,芜湖市繁昌经济开发区纬三路南经六路西交叉口,制剂通过一致性评价后，原料乳酸钠溶液在保持原供应商不变的基础上，增加供应商Purac Biochem B.V，原料无水葡萄糖在保持原供应商不变的基础上，增加供应商石药集团圣雪葡萄糖有限责任公司。,安徽省药品监督管理局,2024-06-06,已备案,详情
黑备2024008284,抗骨增生片,国药准字Z20083236,黑龙江和晖制药有限公司,黑龙江省牡丹江市东安区江南六道街与镜泊湖路交叉口西100米,哈尔滨珍宝制药有限公司,哈尔滨开发区哈平路集中区烟台一路8号,长期未生产，申请恢复生产,黑龙江省药品监督管理局,2024-06-06,已备案,详情
晋备2024020752,盐酸奥普力农注射液,国药准字H20234703,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,山西德元堂药业有限公司,山西省晋中市山西示范区晋中开发区汇通产业园区开发区机械园,申请说明书和标签备案：本品于2023年12月26日取得药品注册证书，为视同通过仿制药一致性评价的药品，现申请在说明书及包装标签上增加“仿制药一致性评价”标识，并根据本品药品注册证书批件（证书编号：2023S02074）附件“盐酸奥普力农注射液说明书”说明书内容进行修订。,山西省药品监督管理局,2024-06-06,已备案,详情
